1949-05-08 09:59:47	46ºC
1949-05-08 09:59:47	42ºC
1949-05-08 09:59:47	26ºC
1950-05-08 09:59:47	42ºC
1950-05-08 09:59:47	41ºC
1950-05-08 09:59:47	26ºC
1951-05-08 09:59:47	56ºC
1951-05-08 09:59:47	43ºC
1951-05-08 09:59:47	44ºC
1952-05-08 09:59:47	44ºC
1952-05-08 09:59:47	41ºC
1952-05-08 09:59:47	34ºC
1953-05-08 09:59:47	64ºC
1953-05-08 09:59:47	14ºC
1953-05-08 09:59:47	24ºC
1954-05-08 09:59:47	54ºC
1954-05-08 09:59:47	14ºC
1954-05-08 09:59:47	24ºC
1955-05-08 09:59:47	34ºC
1955-05-08 09:59:47	64ºC
1955-05-08 09:59:47	14ºC
